,_politicianId,_stateId,party,partyOther,district,firstName,lastName,nickname,middleName,fullName,dob,gender,socialFacebook,socialTwitter,socialYoutube,website,chamber,committees,stats.dateLastTraded,stats.countTrades,stats.countIssuers,stats.volume
0,F000462,fl,democrat,,21,Lois,Frankel,,Jane,"Frankel, Lois Jane",1948-05-16,female,RepLoisFrankel,@RepLoisFrankel,reploisfrankel,https://frankel.house.gov,house,"['hsap', 'hsvr']",2022-09-14,437,142,3496000
1,C001114,ut,republican,,3,John,Curtis,,Ream,"Curtis, John Ream",1960-05-10,male,RepJohnCurtis,@RepJohnCurtis,,https://curtis.house.gov,house,['hsif'],2022-09-14,202,116,1995000
2,A000378,ia,democrat,,3,Cynthia,Axne,Cindy,Lynne,"Axne, Cynthia Lynne (Cindy)",1965-04-20,female,,@RepCindyAxne,,https://axne.house.gov,house,"['hsag', 'hsba']",2022-09-08,158,42,1264000
3,G000563,oh,republican,,7,Robert,Gibbs,Bob,Brian,"Gibbs, Robert Brian (Bob)",1954-06-14,male,RepBobGibbs,@RepBobGibbs,RepBobGibbs,https://gibbs.house.gov,house,"['hsgo', 'hspw']",2022-09-06,61,38,725937
4,M001135,nc,democrat,,6,Kathy,Manning,,Ellen,"Manning, Kathy Ellen",1956-12-03,female,,@RepKManning,,https://manning.house.gov/,house,"['hsed', 'hsfa']",2022-09-01,453,152,8444500
5,D000617,wa,democrat,,1,Suzan,DelBene,,Kay,"DelBene, Suzan Kay Oliver",1962-02-17,female,RepDelBene,@RepDelBene,,https://delbene.house.gov,house,['hswm'],2022-09-01,190,48,139858000
6,H001074,in,republican,,9,Joseph,Hollingsworth,Trey,Albert,"Hollingsworth, Joseph Albert (Trey)",1983-09-12,male,reptrey,@reptrey,,https://hollingsworth.house.gov,house,['hsba'],2022-09-01,94,6,10000500
7,S000929,in,republican,,5,Victoria,Spartz,,,"Spartz, Victoria",1978-10-06,female,,@RepSpartz,,https://spartz.house.gov/,house,"['hsed', 'hsju']",2022-09-01,13,3,1836500
8,S001209,va,democrat,,7,Abigail,Spanberger,,Anne,"Spanberger, Abigail Anne",1979-08-07,female,,@RepSpanberger,,https://spanberger.house.gov,house,"['hsag', 'hsfa']",2022-09-01,3,1,24000
9,K000389,ca,democrat,,17,Rohit,Khanna,Ro,,"Khanna, Rohit (Ro)",1976-09-13,male,RepRoKhanna,@RepRoKhanna,,https://khanna.house.gov,house,"['hsag', 'hsas', 'hsgo']",2022-08-31,13234,1250,213927500
10,M001157,tx,republican,,10,Michael,McCaul,,Thomas,"McCaul, Michael Thomas, Sr",1962-01-14,male,michaeltmccaul,@RepMcCaul,MichaelTMcCaul,https://mccaul.house.gov,house,"['hsfa', 'hshm']",2022-08-31,6654,597,489657500
11,T000278,al,republican,,,Thomas,Tuberville,Tommy,Hawley,"Tuberville, Thomas Hawley (Tommy)",1954-09-18,male,,@SenTuberville,,https://www.tuberville.senate.gov/,senate,"['ssaf', 'ssas', 'sshr', 'ssva']",2022-08-31,533,179,13612000
12,F000450,nc,republican,,5,Virginia,Foxx,,Ann,"Foxx, Virginia Ann",1943-06-29,female,RepVirginiaFoxx,@VirginiaFoxx,repvirginiafoxx,https://foxx.house.gov,house,"['hsed', 'hsgo']",2022-08-31,381,78,10907500
13,B001248,tx,republican,,26,Michael,Burgess,,Clifton,"Burgess, Michael Clifton",1950-12-23,male,michaelcburgess,@MichaelCBurgess,michaelcburgessmd,https://burgess.house.gov,house,"['hsbu', 'hsif', 'hsru']",2022-08-31,29,8,340230
14,W000804,va,republican,,1,Robert,Wittman,Rob,Joseph,"Wittman, Robert Joseph (Rob)",1959-02-03,male,RepRobWittman,@RobWittman,RobWittman,https://wittman.house.gov,house,"['hsas', 'hsii']",2022-08-30,125,81,1024500
15,C001078,va,democrat,,11,Gerald,Connolly,Gerry,Edward,"Connolly, Gerald Edward (Gerry)",1950-03-30,male,CongressmanGerryConnolly,@GerryConnolly,repconnolly,https://connolly.house.gov,house,"['hsfa', 'hsgo']",2022-08-30,22,7,298500
16,G000590,tn,republican,,7,Mark,Green,,Edward,"Green, Mark Edward",1964-11-08,male,,@RepMarkGreen,,https://markgreen.house.gov,house,"['hsas', 'hsfa']",2022-08-29,609,45,90234500
17,G000583,nj,democrat,,5,Joshua,Gottheimer,Josh,S,"Gottheimer, Joshua S (Josh)",1975-03-08,male,RepJoshG,@RepJoshG,,https://gottheimer.house.gov,house,"['hsba', 'hshm']",2022-08-26,1264,317,131991000
