,_txId,_politicianId,_assetId,_issuerId,pubDate,filingDate,txDate,txType,txTypeExtended,hasCapitalGains,owner,chamber,price,size,sizeRangeHigh,sizeRangeLow,value,filingId,filingURL,reportingGap,comment,committees,labels,asset.assetType,asset.assetTicker,asset.instrument,issuer._stateId,issuer.c2iq,issuer.country,issuer.issuerName,issuer.issuerTicker,issuer.sector,politician._stateId,politician.chamber,politician.dob,politician.firstName,politician.gender,politician.lastName,politician.nickname,politician.party
0,20003753443,F000462,100004558,429469,2022-09-21T13:05:03Z,2022-09-20,2022-09-14,sell,,False,not-disclosed,house,278.53,29,54,4,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,6,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,ACN:US,CLASS A,,0AUVU1F2,ie,Accenture PLC,ACN:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,,democrat
1,20003753444,F000462,100004558,429469,2022-09-21T13:05:03Z,2022-09-20,2022-09-07,sell,,False,not-disclosed,house,286.76,29,53,4,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,ACN:US,CLASS A,,0AUVU1F2,ie,Accenture PLC,ACN:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,,democrat
2,20003753445,F000462,100004884,429741,2022-09-21T13:05:03Z,2022-09-20,2022-09-12,buy,,False,not-disclosed,house,155.65,52,97,7,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,8,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,ADI:US,,ma,WNSVU1B9,us,Analog Devices Inc,ADI:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,,democrat
3,20003753446,F000462,100006248,430875,2022-09-21T13:05:03Z,2022-09-20,2022-09-07,sell,,False,not-disclosed,house,78.55,102,191,13,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,CL:US,,ny,AFMVU1B8,us,Colgate-Palmolive Co,CL:US,consumer-staples,fl,house,1948-05-16,Lois,female,Frankel,,democrat
4,20003753447,F000462,100006597,431181,2022-09-21T13:05:03Z,2022-09-20,2022-09-14,sell,,False,not-disclosed,house,281.73,29,54,4,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,6,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,DHR:US,,dc,1TMVU1B8,us,Danaher Corp,DHR:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,,democrat
5,20003753448,F000462,100006875,431395,2022-09-21T13:05:03Z,2022-09-20,2022-09-07,sell,,False,not-disclosed,house,141.27,58,107,8,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,ETN:US,,,C2RVU1B6,ie,Eaton Corp PLC,ETN:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
6,20003753449,F000462,100008751,432900,2022-09-21T13:05:03Z,2022-09-20,2022-09-07,buy,,False,not-disclosed,house,337.82,24,45,3,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,KLAC:US,,ca,4BPVU1B0,us,KLA Corp,KLAC:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,,democrat
7,20003753450,F000462,100008751,432900,2022-09-21T13:05:03Z,2022-09-20,2022-09-14,buy,,False,not-disclosed,house,346.61,24,44,3,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,6,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,KLAC:US,,ca,4BPVU1B0,us,KLA Corp,KLAC:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,,democrat
8,20003753451,F000462,100009023,433121,2022-09-21T13:05:03Z,2022-09-20,2022-09-07,buy,,False,not-disclosed,house,201.3,40,75,5,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,LOW:US,,nc,QKPVU1B6,us,Lowe's Cos Inc,LOW:US,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,,democrat
9,20003753452,F000462,100011529,435137,2022-09-21T13:05:03Z,2022-09-20,2022-09-07,buy,,False,not-disclosed,house,170.79,47,88,6,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,TGT:US,,mn,HNMVU1B3,us,Target Corp,TGT:US,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,,democrat
10,20003752189,F000462,100004694,429583,2022-09-01T13:10:04Z,2022-08-31,2022-07-28,buy,,False,not-disclosed,house,163.2,50,92,7,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,34,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],reit,ARE:US,,ca,2QVVU122,us,Alexandria Real Estate Equities Inc,ARE:US,real-estate,fl,house,1948-05-16,Lois,female,Frankel,,democrat
11,20003752190,F000462,100004884,429741,2022-09-01T13:10:04Z,2022-08-31,2022-07-22,sell,,False,not-disclosed,house,163.27,50,92,7,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,ADI:US,,ma,WNSVU1B9,us,Analog Devices Inc,ADI:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,,democrat
12,20003752191,F000462,100005575,430290,2022-09-01T13:10:04Z,2022-08-31,2022-07-28,sell,,False,not-disclosed,house,144.12,56,105,7,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,34,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,BURL:US,,nj,NHBVU1C9,us,Burlington Stores Inc,,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,,democrat
13,20003752192,F000462,100005739,430430,2022-09-01T13:10:04Z,2022-08-31,2022-07-22,sell,,False,not-disclosed,house,123.73,66,122,9,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,CBOE:US,,il,NRRVU1G7,us,Cboe Global Markets Inc,CBOE:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
14,20003752193,F000462,100006248,430875,2022-09-01T13:10:04Z,2022-08-31,2022-08-10,sell,,False,not-disclosed,house,80.34,100,187,13,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,21,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,CL:US,,ny,AFMVU1B8,us,Colgate-Palmolive Co,CL:US,consumer-staples,fl,house,1948-05-16,Lois,female,Frankel,,democrat
15,20003752194,F000462,100006248,430875,2022-09-01T13:10:04Z,2022-08-31,2022-07-21,sell,,False,not-disclosed,house,76.16,106,197,14,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,41,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,CL:US,,ny,AFMVU1B8,us,Colgate-Palmolive Co,CL:US,consumer-staples,fl,house,1948-05-16,Lois,female,Frankel,,democrat
16,20003752195,F000462,100006340,430955,2022-09-01T13:10:04Z,2022-08-31,2022-07-20,buy,,False,not-disclosed,house,90.71,89,166,12,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,42,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,COP:US,,tx,A2QVU1B8,us,Conocophillips,COP:US,energy,fl,house,1948-05-16,Lois,female,Frankel,,democrat
17,20003752196,F000462,100007527,431941,2022-09-01T13:10:04Z,2022-08-31,2022-08-03,buy,,False,not-disclosed,house,230.67,36,66,5,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,28,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,GD:US,,va,N4TVU1B8,us,General Dynamics Corp,GD:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
18,20003752197,F000462,100007527,431941,2022-09-01T13:10:04Z,2022-08-31,2022-07-20,buy,,False,not-disclosed,house,216.72,38,70,5,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,42,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,GD:US,,va,N4TVU1B8,us,General Dynamics Corp,GD:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
19,20003752198,F000462,100013922,2331435,2022-09-01T13:10:04Z,2022-08-31,2022-07-27,sell,,False,not-disclosed,house,44.59,180,337,23,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,35,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,GXO:US,,ct,VXMVU1C9,us,GXO Logistic Inc,GXO:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
20,20003752199,F000462,100007989,432327,2022-09-01T13:10:04Z,2022-08-31,2022-07-22,sell,,False,not-disclosed,house,193.69,42,78,6,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,HUBB:US,,ct,KUTVU1B6,us,Hubbell Inc,HUBB:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
21,20003752200,F000462,100007995,432333,2022-09-01T13:10:04Z,2022-08-31,2022-07-19,sell,,False,not-disclosed,house,14.72,545,1020,69,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,43,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],reit,HPP:US,,ca,JETVU1G9,us,Hudson Pacific Properties Inc,HPP:US,real-estate,fl,house,1948-05-16,Lois,female,Frankel,,democrat
22,20003752201,F000462,100008978,433073,2022-09-01T13:10:04Z,2022-08-31,2022-07-25,buy,,False,not-disclosed,house,53.25,151,282,19,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,37,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,LKQ:US,,il,N74VU1G0,us,LKQ Corporation,LKQ:US,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,,democrat
23,20003752202,F000462,100009744,433712,2022-09-01T13:10:04Z,2022-08-31,2022-08-03,sell,,False,not-disclosed,house,481.75,18,32,3,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,28,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,NOC:US,,va,9LNVU1B5,us,Northrop Grumman Corp,NOC:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
24,20003752203,F000462,100011529,435137,2022-09-01T13:10:04Z,2022-08-31,2022-08-10,buy,,False,not-disclosed,house,169.67,48,89,6,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,21,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,TGT:US,,mn,HNMVU1B3,us,Target Corp,TGT:US,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,,democrat
25,20003752204,F000462,100011784,435342,2022-09-01T13:10:04Z,2022-08-31,2022-07-20,sell,,False,not-disclosed,house,133.15,61,113,8,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,42,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,TT:US,,,YPTVU1B2,ie,Trane Technologies PLC,TT:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
26,20003752205,F000462,100011784,435342,2022-09-01T13:10:04Z,2022-08-31,2022-07-22,buy,,False,not-disclosed,house,139.22,58,108,8,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,TT:US,,,YPTVU1B2,ie,Trane Technologies PLC,TT:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
27,20003752206,F000462,100012664,436020,2022-09-01T13:10:04Z,2022-08-31,2022-07-28,sell,,False,not-disclosed,house,110.78,73,136,10,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,34,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,ZBH:US,,in,Y0SVU1F2,us,Zimmer Biomet Holdings Inc,ZBH:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,,democrat
28,20003750438,F000462,100004809,429677,2022-07-25T13:05:05Z,2022-07-22,2022-06-22,buy,,False,not-disclosed,house,144.39,56,104,7,8000,204079444,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021425.pdf,30,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,AXP:US,,ny,TSSVU1B2,us,American Express Co,AXP:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
29,20003750439,F000462,100006287,430911,2022-07-25T13:05:05Z,2022-07-22,2022-06-15,buy,,False,not-disclosed,house,40.13,200,374,25,8000,204079444,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021425.pdf,37,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,CMCSA:US,CLASS A,pa,LGMVU1B8,us,Comcast Corp,CMCSA:US,communication-services,fl,house,1948-05-16,Lois,female,Frankel,,democrat
30,20003750440,F000462,100006840,431367,2022-07-25T13:05:05Z,2022-07-22,2022-06-22,sell,,False,not-disclosed,house,100.16,80,150,10,8000,204079444,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021425.pdf,30,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,DUK:US,,nc,41RVU1B1,us,Duke Energy Corp,DUK:US,utilities,fl,house,1948-05-16,Lois,female,Frankel,,democrat
